 top forward interactions
Forward = [99014523 99017988], Reverse = [98887040 98894032]
Forward = [99132880 99146817], Reverse = [98887040 98894032]
Forward = [99253548 99261921], Reverse = [98985126 98989333]
Forward = [99404545 99422364], Reverse = [103365838 103374008]
Forward = [100387497 100388737], Reverse = [98887040 98894032]
Forward = [100663880 100664700], Reverse = [103151867 103154043]
Forward = [100812570 100820556], Reverse = [98985126 98989333]
Forward = [101108892 101114516], Reverse = [98887040 98894032]
Forward = [102309799 102319062], Reverse = [103220529 103240295]

 top reverse interactions
Reverse = [98887040 98894032], Forward = [99132880 99146817]
Reverse = [98985126 98989333], Forward = [99253548 99261921]
Reverse = [99146818 99151799], Forward = [99253548 99261921]
Reverse = [103151867 103154043], Forward = [102309799 102319062]
Reverse = [103220529 103240295], Forward = [102309799 102319062]
Reverse = [103365838 103374008], Forward = [99404545 99422364]
